"ZONA PORTUARIA               ","SOCIEDAD PORTUARIA","TIPO DE SERVICIO","TIPO DE CARGA","EXPORTACION","IMPORTACIÓN","TRANSBORDO","TRANSITO INTERNACIONAL","FLUVIAL","CABOTAJE","MOVILIZACIONES A BORDO","TRANSITORIA","AÑO VIGENCIA","MES VIGENCIA"
"BARRANQUILLA","SOCIEDAD PORTUARIA MICHELLMAR S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","322","0","0","0","2,025","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","CONTENEDORES","0","2,956","0","10","0","10,642","0","0","2,021","3"
"SAN ANDRES","NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","4,775","0","0","2,018","3"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","40,373","0","0","0","0","0","0","2,019","6"
"TURBO","PORTUARIA PUNTA DE VACA S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","1,262","0","0","2,021","11"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GRANEL LIQUIDO","5,496","0","0","0","0","0","0","0","2,022","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","GENERAL","0","0","0","0","0","4,067","0","0","2,023","8"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","109,079","0","0","0","0","0","0","2,019","10"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","16,643","0","0","0","0","0","0","2,021","7"
"TUMACO","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","50,507","0","0","0","0","0","0","0","2,018","3"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","6,260","0","0","0","0","0","0","2,023","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GENERAL","810","7,663","0","0","0","0","0","0","2,022","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","GENERAL","0","7","208","0","0","1","0","0","2,021","1"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GENERAL","11","66,056","0","0","0","13,444","0","0","2,022","2"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GENERAL","0","39","0","0","0","3,661","0","0","2,020","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GENERAL","0","31,270","0","0","0","0","0","0","2,020","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","CONTENEDORES","275","1,169","0","0","0","8,406","0","0","2,024","2"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","5,291","0","0","2,019","1"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","22,000","0","0","0","0","0","0","0","2,024","4"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","11,430","0","0","0","0","0","0","2,019","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","34,464","263,755","0","0","0","0","0","0","2,018","1"
